Duration,Pulse,Maxpulse,Calories
60,110,130,409.1
60,117,145,479
60,103,135,340
45,109,175,282.4
45,117,148,406
60,102,127,300
60,110,136,374
45,104,134,253.3
30,109,133,195.1
60,98,124,269
60,103,147,329.3
60,100,120,250.7
60,106,128,345.3
60,104,132,379.3
60,98,123,275
60,98,120,215.2
60,100,120,300
45,90,112,
60,103,123,323
45,97,125,243
60,108,131,364.2
45,100,119,282
60,130,101,300
45,105,132,246
60,102,126,334.5
60,100,120,250
60,92,118,241
60,103,132,
60,100,132,280
60,102,129,380.3
60,92,115,243
45,90,112,180.1
60,101,124,299
60,93,113,223
60,107,136,361
60,114,140,415
60,102,127,300
60,100,120,300
60,100,120,300
45,104,129,266
45,90,112,180.1
60,98,126,286
60,100,122,329.4
60,111,138,400
60,111,131,397
60,99,119,273
60,109,153,387.6
45,111,136,300
45,108,129,298
60,111,139,397.6
60,107,136,380.2
80,123,146,643.1
60,106,130,263
60,118,151,486
30,136,175,238
60,121,146,450.7
60,118,121,413
45,115,144,305
20,153,172,226.4
a,aa,a,a